SubjectID,Date,LocalTime,UnityTime,Phase,Trial,Step,TrialTimePassed,gazeOriginX,gazeOriginY,gazeOriginZ,gazeDirectionX,gazeDirectionY,gazeDirectionZ,leftPupil,rightPupil,combinedPupil,baselineCorrected,eventBaselineCorrected,hitX,hitY,hitZ,objectName,XR_EYE_EXPRESSION_LEFT_BLINK_HTC,XR_EYE_EXPRESSION_LEFT_WIDE_HTC,XR_EYE_EXPRESSION_RIGHT_BLINK_HTC,XR_EYE_EXPRESSION_RIGHT_WIDE_HTC,XR_EYE_EXPRESSION_LEFT_SQUEEZE_HTC,XR_EYE_EXPRESSION_RIGHT_SQUEEZE_HTC,XR_EYE_EXPRESSION_LEFT_DOWN_HTC,XR_EYE_EXPRESSION_RIGHT_DOWN_HTC,XR_EYE_EXPRESSION_LEFT_OUT_HTC,XR_EYE_EXPRESSION_RIGHT_IN_HTC,XR_EYE_EXPRESSION_LEFT_IN_HTC,XR_EYE_EXPRESSION_RIGHT_OUT_HTC,XR_EYE_EXPRESSION_LEFT_UP_HTC,XR_EYE_EXPRESSION_RIGHT_UP_HTC,XR_LIP_EXPRESSION_JAW_RIGHT_HTC,XR_LIP_EXPRESSION_JAW_LEFT_HTC,XR_LIP_EXPRESSION_JAW_FORWARD_HTC,XR_LIP_EXPRESSION_JAW_OPEN_HTC,XR_LIP_EXPRESSION_MOUTH_APE_SHAPE_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_RIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_LEFT_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_RIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_LEFT_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_OVERTURN_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_OVERTURN_HTC,XR_LIP_EXPRESSION_MOUTH_POUT_HTC,XR_LIP_EXPRESSION_MOUTH_RAISER_RIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_RAISER_LEFT_HTC,XR_LIP_EXPRESSION_MOUTH_STRETCHER_RIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_STRETCHER_LEFT_HTC,XR_LIP_EXPRESSION_CHEEK_PUFF_RIGHT_HTC,XR_LIP_EXPRESSION_CHEEK_PUFF_LEFT_HTC,XR_LIP_EXPRESSION_CHEEK_SUCK_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_UPRIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_UPLEFT_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_DOWNRIGHT_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_DOWNLEFT_HTC,XR_LIP_EXPRESSION_MOUTH_UPPER_INSIDE_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_INSIDE_HTC,XR_LIP_EXPRESSION_MOUTH_LOWER_OVERLAY_HTC,XR_LIP_EXPRESSION_TONGUE_LONGSTEP1_HTC,XR_LIP_EXPRESSION_TONGUE_LEFT_HTC,XR_LIP_EXPRESSION_TONGUE_RIGHT_HTC,XR_LIP_EXPRESSION_TONGUE_UP_HTC,XR_LIP_EXPRESSION_TONGUE_DOWN_HTC,XR_LIP_EXPRESSION_TONGUE_ROLL_HTC,XR_LIP_EXPRESSION_TONGUE_LONGSTEP2_HTC,XR_LIP_EXPRESSION_TONGUE_UPRIGHT_MORPH_HTC,XR_LIP_EXPRESSION_TONGUE_UPLEFT_MORPH_HTC,XR_LIP_EXPRESSION_TONGUE_DOWNRIGHT_MORPH_HTC,XR_LIP_EXPRESSION_TONGUE_DOWNLEFT_MORPH_HTC,
hello,6_30,11_18_6,0.1852,0,0,0,0.1851995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.589017,3.568676,3.578847,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.1887,0,0,0,0.188667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.575049,3.618873,3.596961,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.1920,0,0,0,0.1919748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.564154,3.607164,3.585659,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.1952,0,0,0,0.1952079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.575237,3.585686,3.580462,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.1986,0,0,0,0.198566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.59835,3.607751,3.603051,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.2047,0,0,0,0.2046503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.589924,3.597725,3.593825,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.2083,0,0,0,0.2082591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.584835,3.571361,3.578098,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.2115,0,0,0,0.2114547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.594379,3.618875,3.606627,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.2149,0,0,0,0.2148555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.617926,3.632917,3.625422,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hello,6_30,11_18_6,0.2182,0,0,0,0.2181513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.59148,3.626747,3.609113,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
